SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,walking:-natural,832.82066627134975,17.019113024035704,833.36486607007862,12251.421142055317,21597.877279955082,117542062.28052297,1.8729463307776562,42916399.386167228,2.7601314348302299,9964549.4284184016,1.8729463307776562,39687490.592363931,1.5934264674612641e-08
Dominant-Wrist,walking:-natural,834.16651374014486,22.994036515333679,836.94802706022313,12167.524481175289,21609.961082796981,217833661.82874137,1.9672131147540983,62865838.354137734,1.8688524590163935,48892018.016569428,1.9672131147540983,57591645.399173573,9.0308040467166252e-09
Dominant-Wrist,walking:-natural,834.79040155482642,23.865479878401192,835.274804945082,12161.859356200433,21573.686796651145,231774651.67851228,1.875,58071385.04268562,1.9736842105263157,51442400.726334542,1.875,54627564.629896984,8.0897543645141861e-09
Dominant-Hip,sitting:-legs-straight,784.97038956569429,1.3338044215988378,784.97261098716046,11775.087175898105,20455.352258027728,245812.67532665632,0.396039603960396,19963.914909239287,0.29702970297029702,13960.829283335032,1.2871287128712872,7579.9288928375527,1.6111439470487258e-06
Dominant-Hip,sitting:-legs-straight,785.23183375617498,1.2254930853132915,785.31076651221326,11728.724994644559,20507.840232457438,204673.60063248948,0.3951701427003293,16199.552016970621,0.29637760702524696,15028.271489593635,0.69154774972557631,2997.7384203436104,1.9307333309188914e-06
Dominant-Hip,sitting:-legs-straight,785.17285197943045,1.425678256814916,785.30312618758876,11592.747862349115,20323.487520600396,430575.70249841193,2.4752475247524752,18698.269807724653,2.277227722772277,14119.997576393651,1.7821782178217822,12474.746239247628,5.7486929949597064e-06
Dominant-Hip,sitting:-legs-straight,784.91385888860623,1.490645292160772,784.84265939104,11719.290763523191,20406.504281723512,532558.92667721468,3.0693069306930694,37588.250681965037,3.168316831683168,25437.708855196321,0.79207920792079201,24256.86566992279,5.7633189060285604e-06
Dominant-Hip,sitting:-legs-straight,785.49221011816746,1.5907881173842835,785.44955280399768,11778.1365673862,20436.294380342049,682806.72781018913,0.39473684210526316,61791.525294320934,0.49342105263157893,40231.094284538893,2.1710526315789473,22130.160326130092,5.7810918672581469e-07
Dominant-Hip,sitting:-legs-straight,785.90406984610684,1.1171143095644245,785.92747757029088,11714.432978168426,20177.419557515277,186627.00104177056,0.39560439560439559,23653.494157499914,5.7362637362637354,6596.5678577014332,1.7802197802197801,5109.4058426037654,2.1197596992723042e-06
Dominant-Hip,sitting:-legs-straight,785.04564582945386,1.5706933268529404,785.30312618758876,11745.342098040397,20471.348245780002,655378.21452014381,3.2673267326732676,35183.482634148932,0.9900990099009902,24058.244481377827,0.9900990099009902,23599.977712331398,4.985406381055168e-06
Dominant-Hip,sitting:-legs-straight,785.16047805650373,1.9488271235291761,785.30312618758876,11664.276102699216,20470.13866587132,1165401.806238699,2.8744493392070485,92601.287699914203,3.4691629955947136,60103.18725263646,1.883259911894273,35683.965214180134,2.4664878017344518e-06
Dominant-Hip,sitting:-legs-straight,783.76039486063917,3.1317889649665358,784.3653485461989,11770.425438360331,20396.665487280021,1957076.5054485016,0.3951701427003293,230129.0549697965,0.49396267837541169,227217.53802758278,0.79034028540065859,135388.64551138008,2.0191859725471924e-07
Dominant-Hip,sitting:-legs-straight,784.64868118877678,1.5164741909254715,784.69484514682517,11740.64389205294,20444.95583267423,452036.61131720344,2.5742574257425743,25079.244981344858,3.9603960396039608,16573.775221495685,2.1782178217821779,14113.402346564008,5.6947985213882699e-06
Dominant-Hip,sitting:-legs-straight,785.00398121663318,1.6974516687125367,785.0267511272441,11665.111186782577,20149.132363454264,573806.21431981085,2.3736263736263736,28193.452921430227,2.2747252747252746,27246.254346616555,2.2747252747252746,17335.374303793069,4.1366341360385354e-06
Dominant-Hip,sitting:-legs-straight,784.92665462597267,1.6761548382670732,784.98152844509661,11791.575128031031,20436.131287501557,407644.49671509326,0.49450549450549453,40321.208789889686,3.3626373626373627,17235.178636529236,1.5824175824175823,12613.208842541608,1.2130802659924274e-06
Dominant-Hip,sitting:-legs-straight,777.49979827073389,1.6040633946647711,777.4123744834526,11684.172670754229,20301.239838985206,433951.34672418406,0.3951701427003293,70882.33270749182,0.59275521405049392,64036.919311733407,0.59275521405049392,17689.852881985182,9.1063236854406219e-07
Dominant-Hip,sitting:-legs-straight,778.5271561950558,1.4397091193533369,778.57947571201748,11199.80147145475,20345.581485914823,309220.10172788601,0.29572836801752461,96823.573751941803,0.49288061336254108,33694.628201912856,0.59145673603504922,6600.7857590335134,9.5636851021336863e-07
Dominant-Hip,sitting:-legs-straight,778.34684096124909,1.5120430932378615,778.4124870529763,11410.153417022928,20235.192610894515,366305.66853236221,0.59275521405049392,47890.575707916534,2.2722283205268936,26504.054121926707,2.2722283205268936,19956.181536271593,1.6181983107862429e-06
Dominant-Hip,sitting:-legs-straight,777.468224244103,1.2653379765244896,777.46639798772014,11611.459942660096,20289.857416946033,340081.64270683762,0.39473684210526316,31744.164575991679,0.29605263157894735,20598.503309889376,0.78947368421052633,12022.989559604539,1.1607119954002935e-06
Dominant-Hip,sitting:-legs-straight,778.12190808122523,1.2766609827931239,778.07518916875893,11672.920071687289,20261.68013763913,285050.95699430082,0.3951701427003293,53424.610678039004,0.29637760702524696,41907.998049450856,0.69154774972557631,4789.1402019979269,1.3863140361539995e-06
Dominant-Hip,sitting:-legs-straight,778.73640137768473,1.122857820202606,778.70533579782284,11659.708572687397,20354.317527247138,210842.1898814145,0.39473684210526316,45185.449271819969,0.29605263157894735,20917.204926861985,0.78947368421052633,4616.1438041666515,1.872190961056124e-06
Dominant-Hip,sitting:-legs-straight,778.916174366993,1.2035006312182426,778.85557069330901,11371.251074530013,20313.292372237447,258778.90458945758,0.3951701427003293,79740.121435341833,0.29637760702524696,13884.355092985563,0.69154774972557631,4811.4707612945012,1.5270570193009008e-06
Dominant-Hip,sitting:-legs-straight,778.63176293379911,1.1385345884973876,778.70533579782284,11500.621896228047,19959.707312483319,206373.34215020455,0.29572836801752461,28365.03791936444,0.39430449069003287,21587.798439946469,1.0843373493975905,3552.9688984644276,1.4329775587114583e-06
Dominant-Hip,sitting:-legs-straight,777.36644823997244,1.392924437758376,777.3538446876355,11398.737693271129,20270.183546282948,231035.54111211799,0.39473684210526316,22163.716068361551,0.29605263157894735,10547.243844388953,1.875,4522.0883449051107,1.7085546241290359e-06
Dominant-Hip,sitting:-legs-straight,777.54918128460622,1.2408137952908227,777.46639798772014,11509.39542287083,20276.809290418452,268324.04940269375,0.3951701427003293,54903.808705365343,1.0867178924259056,12178.656370389795,1.0867178924259056,9596.5053634615106,1.472734716027143e-06
Dominant-Hip,sitting:-legs-straight,779.89225826691586,1.5531653047501115,779.90640464096714,11772.790408395114,20378.916261666123,232520.26841798596,0.39387308533916848,23916.51813791582,0.29540481400437635,13319.001384229303,0.78774617067833697,7487.4072770526391,1.6939301163678749e-06
Dominant-Hip,sitting:-legs-straight,780.36447553743756,2.4133737973148826,781.18499729577502,11570.444200634649,20344.018260904111,376808.9051686498,0.396039603960396,82318.49584640078,0.59405940594059403,33697.023510474544,0.69306930693069302,8252.7184269877525,1.0510356802293168e-06
