SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,830.622898696,12.3659829507,838.173013166,12103.3206601,21380.6507151,6219105.16245,0.501113585746,1248473.34908,0.400890868597,1078817.26799,0.801781737194,509381.967599,8.05764772675e-08
Dominant-Wrist,sitting:-legs-straight,823.690147167,13.421487497,813.696503618,11845.7535007,21119.047327,6316578.44048,0.401785714286,1704687.36928,0.301339285714,696170.848885,1.10491071429,438051.838306,6.36081255179e-08
Dominant-Wrist,sitting:-legs-straight,836.281776804,1.16366618844,836.254147972,12183.1740938,21504.2671114,211431.946873,0.507900677201,13083.5320119,0.609480812641,9827.33136074,1.0158013544,7308.54039791,2.40219458181e-06
Dominant-Wrist,sitting:-legs-straight,835.413585742,1.36165288589,835.453170441,12561.4895614,21673.2921588,368201.997324,3.27453142227,19141.917949,2.2822491731,15771.5142842,2.08379272326,12498.6141545,8.89330162811e-06
Dominant-Wrist,sitting:-legs-straight,834.993743664,1.17318963676,834.937722228,12107.1594522,21584.1043826,210067.852369,4.63605823068,9465.62236706,2.11646136618,7851.1210591,2.11646136618,7651.50062982,2.20693370185e-05
Dominant-Wrist,sitting:-legs-straight,834.906691981,1.21721468683,834.894604127,11959.4918788,21678.4946202,254295.948095,0.299667036626,12312.7033923,3.4961154273,10463.4740987,1.39844617092,5330.22647624,1.17841844855e-06
Dominant-Wrist,sitting:-legs-straight,834.789450241,1.18589851791,834.814350619,12415.2770005,21546.4890179,231655.01766,2.8125,8621.90704642,5.42410714286,8325.71140729,1.30580357143,4953.79992845,1.21408982564e-05
Dominant-Wrist,sitting:-legs-straight,834.6571368,1.2002076924,834.693356868,12441.1976915,21347.8596351,278568.001299,2.31543624161,12996.3073088,2.51677852349,12840.9435789,2.31543624161,9016.74592098,8.31192466762e-06
Dominant-Wrist,sitting:-legs-straight,834.200722545,1.04281634446,834.215799419,11836.4995248,21305.0374794,132532.067415,2.41340782123,5205.09825865,5.83240223464,4786.92275993,2.41340782123,2617.97240911,1.82099915009e-05
Dominant-Wrist,sitting:-legs-straight,834.394726729,1.09444956635,834.336862424,12042.0396528,21601.7985825,154572.101754,3.515625,5512.48426181,0.803571428571,4209.17700308,0.803571428571,4024.17694167,2.2744240132e-05
Dominant-Wrist,sitting:-legs-straight,833.662104907,1.13889244869,833.657603576,12173.8432305,21550.0232714,186785.042236,9.5530726257,6938.20701449,5.02793296089,5339.06795039,1.40782122905,3066.42646409,5.11447410956e-05
Dominant-Wrist,sitting:-legs-straight,833.783087196,1.23647459344,833.657603576,11798.0200458,21568.0072098,262503.661806,2.41340782123,16734.2261789,3.11731843575,12069.304582,2.21229050279,11463.7146338,9.19380630588e-06
Dominant-Wrist,sitting:-legs-straight,834.200111833,1.05828405697,834.215799419,12352.788673,21272.2729392,138251.526541,3.50779510022,5311.62885534,4.61024498886,4663.84618682,2.10467706013,2265.42901659,2.53725596237e-05
Dominant-Wrist,sitting:-legs-straight,834.329104857,1.06849105352,834.29850773,12012.7607984,21291.6438069,169404.765823,0.400444938821,9023.61815717,2.10233592881,5410.5497517,2.10233592881,5086.40357894,2.36383514287e-06
Dominant-Wrist,sitting:-legs-straight,834.304796609,1.06693298364,834.336862424,12269.6354877,21486.9862475,171963.056889,2.71812080537,8896.30792997,2.81879194631,6719.1337588,0.704697986577,3773.55499218,1.58064229291e-05
Dominant-Wrist,sitting:-legs-straight,834.656043818,1.07274452113,834.693356868,12331.4145174,21479.4684525,168554.748029,4.33370660694,8103.20750193,3.42665173572,5478.75075491,0.70548712206,2718.40380034,2.5710973186e-05
Dominant-Wrist,sitting:-legs-straight,834.397195458,1.11464500038,834.336862424,11600.917593,21585.2763939,219237.551949,6.5,11863.8866498,3.4,5839.34142488,2.3,5619.93731791,2.96482055296e-05
Dominant-Wrist,sitting:-legs-straight,835.095912968,1.79683874304,835.094006684,12408.305122,21612.3083681,438808.83414,2.80936454849,40045.6815905,2.60869565217,21922.6096744,1.70568561873,12381.8966098,6.40225157272e-06
Dominant-Wrist,sitting:-legs-straight,835.628775201,1.05689200033,835.574054169,11649.1754644,21553.2867331,149167.423154,0.401785714286,4999.57733467,3.61607142857,4805.08677816,1.80803571429,2653.72538769,2.69352185477e-06
Dominant-Wrist,sitting:-legs-straight,835.452389167,1.48157581565,835.453170441,12137.2749001,21495.2024647,580981.596649,2.30769230769,34881.4545683,3.3110367893,27610.3373006,2.30769230769,24014.5175654,3.9720574989e-06
Dominant-Wrist,sitting:-legs-straight,835.318055101,1.36483137813,835.18201609,12421.7727801,21475.946638,292902.57955,0.501672240803,14319.908955,3.41137123746,10560.41389,1.60535117057,5343.50874032,1.71276142932e-06
Dominant-Wrist,sitting:-legs-straight,836.015554842,1.08905548201,836.012559714,12379.6179263,21136.5726408,162126.582092,3.11036789298,6220.26808118,9.93311036789,5047.38323748,0.903010033445,3244.41052423,1.91848113544e-05
Dominant-Wrist,sitting:-legs-straight,836.106033413,1.05921800728,836.132166586,11921.3365023,21549.8169366,160549.901902,9.27211646137,5236.85290933,6.14781634938,4904.35006967,1.71332586786,1904.14692256,5.77522399673e-05
Dominant-Wrist,sitting:-legs-straight,835.510387451,1.14752839123,835.536953103,12398.4377645,21484.586987,232317.826549,3.40378197998,15265.4064875,3.10344827586,13427.451386,0.901001112347,4000.53455981,1.46514024797e-05
Dominant-Wrist,sitting:-legs-straight,800.684356062,7.41265349597,800.965667179,11855.2359319,20663.5178999,14242213.9135,0.502793296089,1773492.17853,1.1061452514,1163330.43259,1.1061452514,1178483.61049,3.53030293705e-08
Dominant-Wrist,sitting:-legs-straight,798.955375934,11.1598109364,800.053123236,11735.6958464,20615.3590316,35588407.2118,4.91638795987,1966834.7648,5.71906354515,1862559.22845,1.30434782609,644398.909917,1.38145771195e-07
Dominant-Wrist,sitting:-legs-straight,798.748775242,1.56840620442,798.744014062,11872.2740029,20628.1140195,539362.523806,0.401785714286,21957.4202123,2.91294642857,14648.0227852,1.00446428571,14904.2663397,7.44927013933e-07
Dominant-Wrist,sitting:-legs-straight,798.796932933,1.20781632586,798.744014062,11771.1934824,20663.2744985,258667.980844,9.15083798883,6444.66878048,1.20670391061,6025.29149692,1.20670391061,6177.97662038,3.53767712532e-05
Dominant-Wrist,sitting:-legs-straight,799.41551106,1.04007087869,799.375381157,11426.4182052,20665.3165715,168374.534633,0.301339285714,7642.66480258,2.91294642857,5566.9815005,2.109375,2754.43059006,1.78969632416e-06
Dominant-Wrist,sitting:-legs-straight,799.409234535,4.79840357648,799.406654964,11689.5995654,20564.5055861,5203919.10852,0.60470324748,260095.136493,1.31019036954,229858.341204,1.31019036954,240446.831082,1.16201507916e-07
Dominant-Wrist,sitting:-legs-straight,797.821348797,6.64858348981,797.454700908,11816.7973241,20605.514359,14610544.4288,6.83035714286,638082.891887,1.50669642857,549387.298669,1.50669642857,558647.668672,4.67495046206e-07
Dominant-Wrist,sitting:-legs-straight,797.535828959,1.15713330133,797.497335419,11807.5865443,20646.6657599,235161.052092,7.84357541899,10226.82889,10.5586592179,8446.35927715,0.804469273743,3435.08171858,3.33540582048e-05
Dominant-Wrist,sitting:-legs-straight,797.013503263,1.04261181814,796.892088052,11557.492202,20556.881281,182995.106235,4.63605823068,4416.16151478,9.67525195969,4371.99059083,1.20940649496,3395.58342668,2.53343290215e-05
Dominant-Wrist,sitting:-legs-straight,796.918702101,1.14746956541,796.825576899,11608.9599448,20692.1075534,209602.723121,0.3,8521.59246828,11.7,6229.02163769,1.1,5361.16303794,1.43127911476e-06
Dominant-Wrist,sitting:-legs-straight,796.740564775,1.28448303159,796.799221887,11873.3417368,20532.2930283,265475.883667,1.00446428571,8293.16626225,6.52901785714,7875.00906585,1.00446428571,6837.88765326,3.78363665972e-06
Dominant-Wrist,sitting:-legs-straight,797.047257695,1.09457020232,797.236476837,11137.6992687,20603.9851728,181616.760502,0.302013422819,6601.02744983,4.8322147651,6110.6531858,0.704697986577,4422.08850012,1.66291603255e-06
Dominant-Wrist,sitting:-legs-straight,797.193356805,1.14548396651,797.297936784,11909.2928002,20607.1959519,215304.283647,0.904017857143,6252.567855,8.73883928571,5602.12267094,0.904017857143,6368.99193679,4.19879178356e-06
Dominant-Wrist,sitting:-legs-straight,797.472074205,1.34636523484,797.428366689,11722.0348063,20534.7333073,275451.578317,8.16349384099,8040.17166101,0.60470324748,6838.59169414,1.20940649496,6010.37984562,2.96367655283e-05
Dominant-Wrist,sitting:-legs-straight,798.13248686,5.6574924519,797.452192924,11859.0541781,20630.9072753,7752922.48724,0.702341137124,281486.956045,0.903010033445,237228.56421,0.903010033445,296943.720011,9.05905016179e-08
