SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,798.555732512,28.9281805983,782.488977541,6963.7222805,12269.4546334,21711653.9515,0.548780487805,11225921.1779,0.274390243902,4311776.41735,0.823170731707,2688275.06915,2.52758490455e-08
Dominant-Wrist,sitting:-legs-straight,782.303084957,1.02154483351,782.483865648,8002.36496293,13721.7685449,26878.9606614,0.861244019139,2055.50587635,1.93779904306,1826.00248097,0.861244019139,1998.28487057,3.2041567008e-05
Dominant-Wrist,sitting:-legs-straight,795.620979844,1.09028334342,795.556409062,10975.3929315,19767.4857278,156430.029255,0.326481257557,10252.976788,4.02660217654,4315.7195434,1.52357920193,3142.70061276,2.0870753468e-06
Dominant-Wrist,sitting:-legs-straight,795.240782903,1.02031420613,795.403042489,11829.0281934,20557.3809616,173579.228532,5.74889867841,4980.66270118,7.13656387665,4874.45436877,1.68502202643,4315.73891806,3.31197386175e-05
Dominant-Wrist,sitting:-legs-straight,795.138070374,1.23950336766,795.403042489,12138.2521394,20721.0758167,184125.673643,0.287539936102,9069.69316843,0.670926517572,8985.26079702,0.670926517572,3601.60509752,1.56165042285e-06
Dominant-Wrist,sitting:-legs-straight,794.641207973,1.09592301441,794.786134756,11684.9765511,20247.7501466,172948.390079,0.41095890411,5629.47495072,0.719178082192,5006.62135585,0.719178082192,5586.46884491,2.37619386871e-06
Dominant-Wrist,sitting:-legs-straight,794.655749362,1.20757054495,794.786134756,12054.2450614,21041.0747111,252594.283812,0.381355932203,14115.511426,5.14830508475,7692.09043683,0.858050847458,6354.8635222,1.50975677853e-06
Dominant-Wrist,sitting:-legs-straight,812.967770659,21.0306188696,800.083745617,11803.2515012,21004.0320891,19657108.4134,0.491803278689,5735896.02191,0.590163934426,4008282.07151,0.590163934426,1212897.17363,2.50191059817e-08
Dominant-Wrist,sitting:-legs-straight,827.558600083,15.2623330171,818.377663402,12319.0556862,21477.3926257,21495050.401,0.490196078431,5491082.23861,0.588235294118,2963863.81371,0.78431372549,1818503.95051,2.28050676452e-08
Dominant-Wrist,sitting:-legs-straight,816.448904403,2.56594791682,816.862901594,12234.6548787,21037.9755442,1968736.98903,0.690032858708,178236.621104,0.39430449069,177251.711804,0.690032858708,148028.502556,3.50495196948e-07
Dominant-Wrist,sitting:-legs-straight,817.452477585,5.94859260298,818.225519035,12212.3947692,21382.0318726,12865164.3669,0.786026200873,1857859.8395,0.884279475983,1674343.51391,0.786026200873,1849845.05901,6.10972528959e-08
Dominant-Wrist,sitting:-legs-straight,825.116602888,6.76583011219,826.136792547,12294.4152362,21480.7018275,14781428.3364,0.990099009901,1126013.96121,1.68316831683,938565.847076,0.990099009901,1082062.78166,6.69826343822e-08
Dominant-Wrist,sitting:-legs-straight,832.171684809,6.33796130194,831.80286126,12231.0739512,21385.8052923,4343439.00889,0.507328072153,428457.061078,0.811724915445,414707.779823,0.811724915445,404947.33748,1.16803314405e-07
Dominant-Wrist,sitting:-legs-straight,829.459493069,10.8044182372,831.977163148,12491.1959796,21870.4047745,38535032.6112,1.82887700535,3635299.58891,0.577540106952,2990204.74672,1.82887700535,3755425.21619,4.74601130821e-08
Dominant-Wrist,sitting:-legs-straight,822.599325155,12.2718190687,821.054200403,12259.7670043,21490.4144446,20671121.328,0.488069414317,2387484.03164,1.0737527115,1640824.86134,1.0737527115,1686671.06818,2.3611172639e-08
Dominant-Wrist,sitting:-legs-straight,815.118222058,2.47093856332,815.125757169,12128.620779,21261.6834705,1035646.12247,0.492880613363,191007.10915,0.39430449069,88370.4119742,0.887185104053,50084.0209035,4.75916051505e-07
Dominant-Wrist,sitting:-legs-straight,817.412841429,6.81057113768,820.680814934,12198.2057287,21252.4757617,3593974.37473,0.3951701427,1289957.59784,0.790340285401,420907.326346,0.790340285401,479638.693463,1.09953522618e-07
