,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
594,Dominant-Ankle,sitting:-legs-straight,827.2245165,1.006184982,827.170478,9233.928362,16597.51527,58632.76751,4.076086957,2843.99037,4.891304348,2819.508177,1.304347826,1746.384697,6.95E-05
595,Dominant-Ankle,sitting:-legs-straight,827.5479572,4.923662277,827.6073948,12531.34745,21820.69699,7519364.997,2.990353698,266214.8248,5.980707396,260246.6484,2.025723473,132130.6891,3.98E-07
596,Dominant-Ankle,sitting:-legs-straight,827.8848668,1.528169453,827.8967327,13064.17904,23031.28542,704269.2219,2,22266.84179,9.083333333,22150.70766,2,21136.38502,2.84E-06
597,Dominant-Ankle,sitting:-legs-straight,828.1875505,2.271890265,828.0923862,10963.82552,19213.13111,888295.3497,5.279672578,23327.89387,5.034106412,20266.10827,1.105047749,7180.015431,5.94E-06
598,Dominant-Ankle,sitting:-legs-straight,797.5148992,4.642983991,798.0238092,11349.86683,20796.80843,6945557.033,2.661555312,434000.2054,2.562979189,392406.316,2.464403067,175345.8439,3.83E-07
599,Dominant-Ankle,sitting:-legs-straight,789.1235822,10.23589749,794.7251078,11653.58018,20533.8809,3661973.56,0.394736842,1395784.376,0.296052632,241547.6641,1.875,96994.59877,1.08E-07
600,Dominant-Ankle,sitting:-legs-straight,798.0889919,0.968530039,797.9962406,11602.25513,20569.5797,114764.275,4.923413567,3723.503521,2.264770241,3687.41919,2.264770241,2899.732809,4.29E-05
601,Dominant-Ankle,sitting:-legs-straight,798.6373843,1.008976832,798.6000248,11663.7461,20722.2944,163110.0724,0.394736842,8887.566333,7.5,5820.713339,2.269736842,3372.340691,2.42E-06
602,Dominant-Ankle,sitting:-legs-straight,798.5422149,0.975924258,798.5443006,11690.63595,20873.76404,162789.6126,2.461706783,7672.527546,3.150984683,6477.389601,2.461706783,3407.313535,1.51E-05
603,Dominant-Ankle,sitting:-legs-straight,798.6588432,0.986547297,798.5806158,11961.23037,20738.61512,139340.5467,3.157894737,4792.244776,3.355263158,4322.253849,1.875,1954.273788,2.27E-05
604,Dominant-Ankle,sitting:-legs-straight,798.5666971,0.90359168,798.5806158,11827.56019,20489.34882,113426.9368,2.173435785,4369.206669,8.792535675,3296.049763,2.173435785,3681.614477,1.92E-05
605,Dominant-Ankle,sitting:-legs-straight,798.4607519,0.900549638,798.5443006,11635.80315,20611.05359,120686.8796,4.140197152,6403.494716,4.731653888,5411.703303,2.070098576,2762.669386,3.43E-05
606,Dominant-Ankle,sitting:-legs-straight,799.1544114,0.91468842,799.2046046,11198.83847,20768.12493,122119.4676,6,3731.510836,3.442622951,3640.333842,0.983606557,2481.639709,4.91E-05
607,Dominant-Ankle,sitting:-legs-straight,799.9240174,1.057348814,799.887492,11978.71462,20862.97577,157034.4158,0.593406593,11807.82984,0.395604396,6848.192337,0.593406593,5526.572511,3.78E-06
608,Dominant-Ankle,sitting:-legs-straight,800.0307093,0.918942657,799.901869,11903.17718,20882.48079,125722.3387,3.635371179,5739.212955,5.993449782,3260.517466,1.375545852,2142.761059,2.89E-05
609,Dominant-Ankle,sitting:-legs-straight,800.0212634,0.92183692,799.9406228,10922.44986,20913.19562,108479.8968,0.789473684,3533.778453,11.15131579,3105.170645,0.789473684,3095.309296,7.28E-06
610,Dominant-Ankle,sitting:-legs-straight,799.4517487,1.035817237,799.3910182,11837.93842,20820.29685,143636.1627,4.252747253,4465.929018,3.164835165,4315.077149,1.483516484,3276.08071,2.96E-05
611,Dominant-Ankle,sitting:-legs-straight,799.9824271,0.898943129,799.8656137,11010.24151,20820.12214,120020.3621,3.344262295,4163.364374,7.278688525,3458.816139,0.885245902,1147.032505,2.79E-05
612,Dominant-Ankle,sitting:-legs-straight,799.9537435,0.873260793,799.901869,10775.79793,20415.8702,101381.2352,10.55921053,2808.400671,12.73026316,2327.194769,0.986842105,1684.942853,0.000104154
613,Dominant-Ankle,sitting:-legs-straight,800.2152261,0.923110334,800.3411772,11715.65675,20764.29491,124370.7072,11.26234907,5819.35168,3.754116356,5763.634168,2.173435785,2098.611609,9.06E-05
614,Dominant-Ankle,sitting:-legs-straight,800.4024856,0.947309723,800.3411772,8188.586569,16019.17744,53407.44935,2.613430127,3582.937826,4.246823956,3237.099639,1.796733212,1909.144595,4.89E-05
615,Dominant-Ankle,sitting:-legs-straight,800.4899267,1.329047853,800.3824086,9317.16137,16196.36441,99621.34218,0.327272727,12238.60578,0.490909091,9801.188887,1.145454545,4341.88103,3.29E-06
616,Dominant-Ankle,sitting:-legs-straight,798.7271068,1.883707914,799.0531897,11944.56303,20873.17879,372376.1023,3.651315789,15448.88866,3.75,15434.33563,1.184210526,10790.44713,9.81E-06
617,Dominant-Ankle,sitting:-legs-straight,793.9594742,1.826098173,794.1574151,11900.9403,20534.7,722624.3388,3.351588171,55971.47516,3.253012048,46600.42407,1.872946331,29412.61548,4.64E-06
618,Dominant-Ankle,sitting:-legs-straight,794.5843346,0.962253177,794.574729,11793.74343,20694.49074,129566.6783,1.973684211,4682.072912,10.36184211,4525.691998,1.973684211,4702.534444,1.52E-05
619,Dominant-Ankle,sitting:-legs-straight,794.7634805,1.035086478,794.7194474,11633.85628,20774.36695,200821.3657,3.351588171,10356.71829,2.562979189,10040.95827,0.985761227,4568.766874,1.67E-05
620,Dominant-Ankle,sitting:-legs-straight,794.6790018,0.927272221,794.6653384,11795.76428,20743.21135,145465.9207,0.888157895,4686.80049,2.565789474,4396.015564,0.888157895,3996.900995,6.11E-06
621,Dominant-Ankle,sitting:-legs-straight,794.754246,0.944186072,794.7194474,11165.21366,20172.75018,137660.9547,3.260153677,5161.785391,3.457738749,4831.526591,1.679473106,2687.161575,2.37E-05
622,Dominant-Ankle,sitting:-legs-straight,794.7482479,0.925353682,794.6653384,11278.06211,20560.97383,146058.9487,3.639344262,5851.012623,2.754098361,5648.196723,2.06557377,3716.641738,2.49E-05
623,Dominant-Ankle,sitting:-legs-straight,795.0274939,1.003925653,795.1377239,11984.98031,20459.39036,143843.5801,2.858707558,7458.998442,10.54764513,3548.351902,2.168674699,2772.647372,1.99E-05
624,Dominant-Ankle,sitting:-legs-straight,795.0678609,0.931089365,795.1377239,11828.52391,20445.7542,137614.1855,7.318681319,4830.390268,3.461538462,4280.055426,2.076923077,2499.043051,5.32E-05
625,Dominant-Ankle,sitting:-legs-straight,794.0925688,15.59454477,795.4659012,11833.54444,20389.21948,91172139.63,4.61790393,1809826.269,4.716157205,1802225.49,2.063318777,1542696.83,5.07E-08
626,Dominant-Ankle,sitting:-legs-straight,788.5565906,1.181489354,788.6272884,11883.5899,20337.45028,264923.4468,5.723684211,13383.3337,3.059210526,10178.17015,0.888157895,7995.705202,2.16E-05
627,Dominant-Ankle,sitting:-legs-straight,788.980822,0.944383323,789.1299006,11604.17946,20578.59563,128810.0436,0.592105263,4193.463328,2.565789474,3539.111816,1.282894737,2293.8284,4.60E-06
628,Dominant-Ankle,sitting:-legs-straight,789.2732095,0.910588647,789.2832191,11582.38684,20111.46049,112562.4939,2.461706783,3447.597077,9.354485777,2498.055396,2.461706783,1791.507687,2.19E-05
629,Dominant-Ankle,sitting:-legs-straight,789.1169177,0.937573612,789.1729848,11633.36787,20261.53716,122139.311,5.421686747,3212.608082,9.857612267,2905.889813,1.47864184,2068.382639,4.44E-05
630,Dominant-Ankle,sitting:-legs-straight,789.158055,0.934337441,789.1729848,11872.26554,20492.35923,115172.5933,14.63736264,3447.172678,8.604395604,3164.74798,1.978021978,2937.112754,0.000127091
631,Dominant-Ankle,sitting:-legs-straight,789.3887083,1.16932743,789.2832191,9224.281923,15234.06902,67466.37816,1.470054446,3430.451293,7.513611615,3400.98719,1.470054446,1319.003549,2.18E-05
632,Dominant-Ankle,sitting:-legs-straight,783.1956313,15.28304277,788.3983765,11551.19513,20327.62426,12931414.62,0.295728368,1448307.869,1.281489595,677247.5844,1.577217963,499996.321,2.29E-08
633,Dominant-Ankle,sitting:-legs-straight,824.3532914,10.12545323,825.4701691,12291.65412,21506.3997,32402855.19,7.894736842,745424.2961,7.796052632,731276.7081,0.986842105,165713.0408,2.44E-07
634,Dominant-Ankle,sitting:-legs-straight,808.2935957,1.623585625,808.1119972,12204.94314,21122.45204,686991.489,3.643326039,40433.3873,0.393873085,38729.02777,0.689277899,20223.22438,5.30E-06
