,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
781,Dominant-Upper-Arm,sitting:-legs-straight,848.5121297,27.69541686,836.068777,12463.1547,21873.25264,53681282.51,0.490196078,14010110.81,0.588235294,4970248.77,1.176470588,2975544.545,9.13E-09
782,Dominant-Upper-Arm,sitting:-legs-straight,836.0384921,2.903659322,836.7544443,12594.97277,21828.37999,1786915.433,0.3930131,308242.8128,0.491266376,206969.8564,0.687772926,123426.9981,2.20E-07
783,Dominant-Upper-Arm,sitting:-legs-straight,833.3408671,4.378747812,833.8375141,12462.00538,21734.87727,1739413.036,0.392156863,276718.5684,0.490196078,198627.1024,1.37254902,90341.38429,2.25E-07
784,Dominant-Upper-Arm,sitting:-legs-straight,834.3300791,1.032140113,834.2937133,12439.44947,21872.95618,161257.1292,0.490196078,8422.746575,3.62745098,8198.571488,2.254901961,2194.241708,3.04E-06
785,Dominant-Upper-Arm,sitting:-legs-straight,834.7380524,0.969352441,834.750861,11727.39037,21351.79388,140209.719,7.089715536,6645.761971,10.04376368,6122.410044,1.280087527,2069.066963,5.06E-05
786,Dominant-Upper-Arm,sitting:-legs-straight,834.7894625,1.115002797,834.750861,12161.91075,21868.31768,239397.7458,4.309031556,13158.47881,2.74211099,11138.25306,0.783460283,5009.539462,1.80E-05
787,Dominant-Upper-Arm,sitting:-legs-straight,836.239601,1.155497444,836.1584778,12296.75892,21712.56784,285897.5779,6.666666667,8827.443964,11.47058824,8726.024322,0.882352941,6834.72814,2.33E-05
788,Dominant-Upper-Arm,sitting:-legs-straight,835.5838183,1.609991412,835.5967927,12558.81228,21610.73622,679167.591,4.220283533,46743.82428,3.925845147,40823.95184,0.687022901,6575.664876,6.21E-06
789,Dominant-Upper-Arm,sitting:-legs-straight,835.7409251,1.742771785,835.5967927,11817.75304,21677.49164,990583.961,3.831877729,154486.0023,3.930131004,129835.4732,2.652838428,5331.702355,3.87E-06
790,Dominant-Upper-Arm,sitting:-legs-straight,836.4379998,1.718226378,836.4000239,12486.29188,21807.84237,537347.6366,4.01523395,29218.28055,4.211099021,28289.32173,2.154515778,16151.93638,7.47E-06
