,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
395,Dominant-Thigh,sitting:-legs-straight,769.202563,1.804618769,769.0481129,11535.73712,19967.56197,873532.5684,2.554585153,37147.44479,2.161572052,30405.04025,2.161572052,30052.35829,2.92E-06
396,Dominant-Thigh,sitting:-legs-straight,769.6468017,1.040472846,769.583004,10837.63872,19760.221,168681.8241,4.229508197,6810.803569,7.868852459,3889.428371,1.967213115,3376.134505,2.51E-05
397,Dominant-Thigh,sitting:-legs-straight,769.6197054,1.086301298,769.583004,10944.71201,20013.05909,224542.1669,2.557377049,12384.94546,2.655737705,8243.689837,2.557377049,6155.320146,1.14E-05
398,Dominant-Thigh,sitting:-legs-straight,769.7603448,1.009027165,769.6473218,11346.30513,19898.39926,143114.1953,3.045851528,5476.656715,8.253275109,4011.238948,0.884279476,2662.588097,2.13E-05
399,Dominant-Thigh,sitting:-legs-straight,769.7776946,0.970243438,769.6141891,11163.42725,20180.3132,126927.3811,5.980392157,4607.137298,2.058823529,4099.486018,2.058823529,4054.246871,4.71E-05
400,Dominant-Thigh,sitting:-legs-straight,769.7887798,0.988885771,769.6479715,11294.93577,20136.15378,133201.9233,2.751091703,4532.172073,13.55895197,3920.403125,1.866812227,2973.975314,2.07E-05
401,Dominant-Thigh,sitting:-legs-straight,769.9660734,2.752572697,770.1486869,11424.20557,19978.50798,2734492.906,1.971522453,136927.0267,5.815991238,104281.1594,1.971522453,124801.6762,7.21E-07
402,Dominant-Thigh,sitting:-legs-straight,769.9644434,1.388794169,770.118822,11524.89085,20063.69592,516770.6784,6.105032823,17700.82821,5.711159737,15810.83747,1.870897155,10617.65119,1.18E-05
403,Dominant-Thigh,sitting:-legs-straight,769.8923882,1.185159186,770.05779,11527.11907,20049.34794,232922.925,4.426229508,11039.26792,4.524590164,6213.038813,2.262295082,2309.085138,1.90E-05
404,Dominant-Thigh,sitting:-legs-straight,769.8565077,1.012616655,769.7090359,10621.08111,20093.40723,130125.9933,4.037199125,5494.466784,12.0131291,4449.807691,1.673960613,2565.42824,3.10E-05
405,Dominant-Thigh,sitting:-legs-straight,769.9047467,1.032334325,770.0889559,11425.52909,19871.8899,164272.8495,3.639344262,7085.211299,4.131147541,4792.217011,2.262295082,2844.489794,2.22E-05
406,Dominant-Thigh,sitting:-legs-straight,769.943223,1.001368392,770.1486869,11529.77506,19933.00196,156985.4281,2.262295082,5141.56642,12.09836066,4833.650297,2.262295082,4363.175517,1.44E-05
407,Dominant-Thigh,sitting:-legs-straight,794.1869032,3.783358282,794.2531083,11883.55246,20481.0861,5119898.913,1.280087527,251143.6092,1.47702407,230771.6508,1.280087527,259624.6222,2.50E-07
408,Dominant-Thigh,sitting:-legs-straight,790.8821604,4.738349834,792.3187488,11848.55654,20696.24741,2674222.947,0.392156863,473058.2942,0.68627451,158916.4174,0.68627451,151349.8369,1.47E-07
409,Dominant-Thigh,sitting:-legs-straight,794.5096136,1.077512718,794.6452038,11923.06076,20752.22301,198065.6374,3.150984683,9346.068316,1.083150985,8685.201064,1.083150985,7197.292475,1.59E-05
410,Dominant-Thigh,sitting:-legs-straight,794.6445364,1.165506211,794.7144141,11976.77269,20198.49517,321857.1348,3.150984683,23007.18902,3.249452954,22952.49883,2.560175055,4821.629443,9.79E-06
411,Dominant-Thigh,sitting:-legs-straight,794.4919226,1.354184282,794.5898313,11812.38215,20595.48834,505095.9741,3.144104803,75378.84986,3.242358079,45916.05372,2.456331878,13914.79164,6.22E-06
412,Dominant-Thigh,sitting:-legs-straight,794.5930769,1.279084128,794.7144141,12000.04862,20812.82446,365020.2926,3.042529989,31056.57697,3.140676118,30004.9354,2.061068702,12918.43898,8.34E-06
413,Dominant-Thigh,sitting:-legs-straight,794.49374,1.008062775,794.4079557,11630.28379,20736.99713,136255.3519,5.704918033,4982.986994,4.131147541,4570.200548,1.770491803,2499.828752,4.19E-05
414,Dominant-Thigh,sitting:-legs-straight,794.2503533,1.011563667,794.2052631,11518.01741,20268.22136,152239.274,3.245901639,12300.75183,2.262295082,5278.379457,2.262295082,3723.800718,2.13E-05
415,Dominant-Thigh,sitting:-legs-straight,794.5908163,0.948224223,794.7144141,11900.29252,20770.90104,145369.9081,3.442622951,9055.463895,3.737704918,7137.034266,1.770491803,5137.765663,2.37E-05
416,Dominant-Thigh,sitting:-legs-straight,794.7236901,1.142717087,794.7710362,11872.5918,20387.89604,256461.097,0.395604396,19257.4426,0.593406593,18722.8688,0.593406593,8187.629582,1.54E-06
417,Dominant-Thigh,sitting:-legs-straight,794.6749251,0.970781815,794.7710362,11848.38166,20757.72439,129161.0678,4.643249177,3212.776355,10.76838639,2862.145066,0.987925357,2328.453485,3.59E-05
418,Dominant-Thigh,sitting:-legs-straight,794.5078339,0.958579724,794.4645996,11495.14628,20798.57923,143663.5535,4.309031556,8677.034484,2.74211099,4324.236268,1.762785637,3571.164404,3.00E-05
419,Dominant-Thigh,sitting:-legs-straight,794.3227877,1.09112545,794.2619215,11043.13864,20502.03117,232009.6738,2.072368421,12727.15941,1.776315789,9038.213597,2.072368421,11895.69654,8.93E-06
420,Dominant-Thigh,sitting:-legs-straight,794.2250256,0.932286694,794.2052631,11491.90872,20299.94882,111438.2713,7.615384615,3959.793834,10.08791209,2989.555722,0.989010989,2411.53191,6.83E-05
421,Dominant-Thigh,sitting:-legs-straight,794.2396373,0.962713301,794.2619215,11545.94877,20096.46792,123790.1617,4.402173913,4321.232738,10.17391304,3860.797463,1.27173913,3772.007276,3.56E-05
422,Dominant-Thigh,sitting:-legs-straight,794.2778003,1.004635198,794.2619215,11436.21082,20237.67482,168861.2277,3.79049676,9520.425162,3.498920086,5286.797301,1.069114471,2942.214938,2.24E-05
