,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
0,Dominant-Wrist,sitting:-legs-straight,857.6494201,25.52862188,854.8649016,12476.89709,22184.88177,105452567.9,0.295081967,15491424.05,0.393442623,10494501.11,0.983606557,10406215.55,2.80E-09
1,Dominant-Wrist,sitting:-legs-straight,847.1714886,18.51002197,854.5490039,12463.06218,21994.7649,45713082,0.393873085,13972696.35,0.295404814,10349235.48,0.689277899,1999399.404,8.62E-09
2,Dominant-Wrist,sitting:-legs-straight,852.144062,5.115598699,850.6050788,12721.92493,22211.09396,4614609.194,1.374045802,401986.3799,2.25736096,190697.5454,1.374045802,413676.9432,2.98E-07
3,Dominant-Wrist,sitting:-legs-straight,850.8186456,1.28103288,850.9676845,12333.14567,21475.04505,166086.6819,8.566739606,5584.393127,7.975929978,5365.464488,1.378555799,3821.741068,5.16E-05
4,Dominant-Wrist,sitting:-legs-straight,853.7920258,2.785659511,852.845238,12568.52724,22146.85849,1197458.599,0.393873085,250296.4956,0.295404814,224827.9709,0.984682713,56507.96112,3.29E-07
5,Dominant-Wrist,sitting:-legs-straight,854.8518833,1.795509237,854.7900327,12500.63882,22386.42213,477689.0501,0.490730643,34358.74803,0.294438386,23198.83587,0.687022901,13674.37087,1.03E-06
6,Dominant-Wrist,sitting:-legs-straight,856.9000686,1.73089665,856.9819135,12933.23181,22326.90346,647242.2816,0.491803279,74453.07097,0.393442623,59044.33254,0.590163934,14426.25476,7.60E-07
7,Dominant-Wrist,sitting:-legs-straight,855.2974218,2.016111177,855.1894527,12676.47037,22214.61872,443814.6985,0.394736842,83671.64125,0.296052632,26020.67894,0.690789474,15419.86255,8.89E-07
8,Dominant-Wrist,sitting:-legs-straight,856.1530243,1.366842315,856.2055827,12901.77693,22194.68689,365682.7428,3.921568627,37727.38181,3.823529412,24234.4972,1.37254902,7599.8898,1.07E-05
9,Dominant-Wrist,sitting:-legs-straight,856.6692532,1.254418905,856.7695139,12882.61701,22391.23491,342297.8193,0.592105263,13140.73219,0.493421053,12270.83923,1.578947368,8484.772828,1.73E-06
10,Dominant-Wrist,sitting:-legs-straight,856.7836793,1.26361683,856.747629,12568.93054,22376.83271,315973.8301,0.492341357,18299.64025,0.393873085,16692.69581,1.870897155,9413.957639,1.56E-06
11,Dominant-Wrist,sitting:-legs-straight,856.9512476,1.183025977,856.9118975,12543.90661,22151.31755,315926.2793,4.923413567,18787.17803,0.393873085,17292.36844,0.886214442,2497.883646,1.56E-05
12,Dominant-Wrist,sitting:-legs-straight,821.3674721,15.32500075,821.0468927,12120.67931,21366.09688,78163341.03,0.786026201,9826342.73,1.179039301,9270481.299,1.179039301,8876699.702,1.01E-08
13,Dominant-Wrist,sitting:-legs-straight,819.0530847,6.825915085,819.1184286,12262.82769,21378.10179,9389202.718,0.393442623,821739.0714,3.245901639,762856.9926,0.983606557,203719.8306,4.19E-08
14,Dominant-Wrist,sitting:-legs-straight,816.7667417,5.406347046,816.7698572,12227.04453,21318.96902,5621676.402,0.886214442,565410.0086,0.393873085,407840.9373,0.886214442,341622.2848,1.58E-07
15,Dominant-Wrist,sitting:-legs-straight,810.4492851,7.380752029,811.1313087,12096.55968,21120.94451,15495013.67,0.788608981,1580801.758,0.690032859,1154429.842,0.788608981,1738207.286,5.09E-08
16,Dominant-Wrist,sitting:-legs-straight,812.2280932,7.829184993,815.0570532,12125.39538,21221.51048,14599949.13,1.081967213,909505.866,3.147540984,798691.3184,1.081967213,683229.9594,7.41E-08
17,Dominant-Wrist,sitting:-legs-straight,828.707156,10.95431688,829.9789154,12332.50911,21621.45777,42181492.21,1.278688525,3491743.377,1.180327869,3435192.533,1.278688525,3394127.539,3.03E-08
