SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,821.224433075,4.97757505624,822.740542334,12295.3381003,21424.7932779,4724627.04372,0.689277899344,559481.627048,0.590809628009,434609.871105,0.689277899344,456006.029639,1.45890435999e-07
Dominant-Wrist,sitting:-legs-straight,819.682318218,5.35422194644,820.999390986,12294.866083,21403.1478526,4642613.32111,0.983606557377,566197.529909,0.491803278689,358108.646142,0.983606557377,480398.780321,2.11864846229e-07
Dominant-Wrist,sitting:-legs-straight,827.088532304,18.5819883325,821.78403489,12277.8368616,21416.6379014,90703776.8176,0.78860898138,9376762.21859,0.985761226725,8404174.02784,0.985761226725,10172081.0386,8.69433455859e-09
Dominant-Wrist,sitting:-legs-straight,844.759944754,30.5333581363,828.408413767,12331.0051091,21671.6998641,310897546.763,0.592105263158,72078725.8071,0.690789473684,44313208.5802,0.888157894737,23908084.7965,1.90450284772e-09
Dominant-Wrist,sitting:-legs-straight,825.454852221,15.4154100289,824.243287598,12335.7865983,21444.7297955,85195647.3343,0.393873085339,7927731.16988,0.492341356674,6830250.01028,0.984682713348,5275765.5599,4.6231597231e-09
Dominant-Wrist,sitting:-legs-straight,832.736095577,6.73442644999,832.82230998,12262.9021035,21688.6274808,16525730.0476,0.983606557377,1347833.13962,0.786885245902,1293023.30842,0.983606557377,1344119.18541,5.95197037919e-08
Dominant-Wrist,sitting:-legs-straight,841.933426371,29.2168943945,833.418262339,12430.6208614,21667.0043384,262252564.407,0.492880613363,52892269.4353,0.39430449069,40136538.901,0.887185104053,8895599.52529,1.87941198774e-09
Dominant-Wrist,sitting:-legs-straight,861.842689179,43.838578318,848.882206198,12201.9979512,22073.495011,305178988.233,0.492880613363,51111232.4551,0.39430449069,30503946.9926,0.78860898138,21677909.5113,1.61505422184e-09
Dominant-Wrist,sitting:-legs-straight,834.752551757,24.5670627812,829.737307805,12418.5981898,21637.53974,192667659.921,0.590809628009,22649407.2765,0.689277899344,22061324.9884,0.689277899344,19883508.2891,3.06647014996e-09
Dominant-Wrist,sitting:-legs-straight,861.683890446,45.5702712774,832.34728329,12326.8602247,21872.8105876,172181898.504,0.594059405941,29140203.8727,0.39603960396,23657444.7974,0.891089108911,10792455.509,3.45018501424e-09
Dominant-Wrist,sitting:-legs-straight,834.137392317,23.556894891,825.84441634,12254.0694057,21603.1792568,85613121.7257,0.392156862745,21000618.7646,0.490196078431,12762540.8466,1.07843137255,4640023.01157,4.58056960008e-09
Dominant-Wrist,sitting:-legs-straight,832.343746328,23.3051968142,825.482283274,12292.3544531,21486.4418646,86323932.2333,0.492880613363,17897441.1105,0.78860898138,9217302.47814,0.690032858708,5760975.45226,5.70966359631e-09
Dominant-Wrist,sitting:-legs-straight,838.212682629,20.6624902877,828.283767799,12412.5331017,21664.9270943,98904025.2418,0.393873085339,23992304.6854,0.295404814004,10500270.853,1.57549234136,6387338.42865,3.98237669676e-09
Dominant-Wrist,sitting:-legs-straight,834.653246832,6.57586623823,832.734943975,12269.87612,21771.153139,9862147.80839,0.689277899344,1118785.35034,0.590809628009,802033.998019,0.689277899344,962304.579383,6.98912562188e-08
Dominant-Wrist,sitting:-legs-straight,835.077283079,8.55519689835,835.85824157,12490.0101681,21767.8669373,18355294.0708,0.590163934426,1400662.72464,2.06557377049,1349504.5533,0.885245901639,1551242.5419,3.21522462211e-08
Dominant-Wrist,sitting:-legs-straight,841.880671212,11.4307443593,840.79337528,12536.5453375,21909.5159006,32870325.5,0.787746170678,4197192.49054,1.28008752735,3843192.14254,1.28008752735,3465464.54434,2.39652683293e-08
Dominant-Wrist,sitting:-legs-straight,837.111369225,3.35812538193,837.158885756,12124.3312393,21841.0062497,1957905.7963,0.592105263158,381912.602031,0.296052631579,352596.704415,0.592105263158,150480.102133,3.02417646588e-07
Dominant-Wrist,sitting:-legs-straight,834.267477989,4.44312128917,834.213401933,12373.8845962,21820.3656477,1962731.09632,0.491266375546,694780.229872,0.786026200873,167778.873679,0.786026200873,179466.02169,2.5029734153e-07
Dominant-Wrist,sitting:-legs-straight,834.260791506,2.09539540789,834.652622353,12498.8023826,21539.1592222,420759.11362,0.492880613363,66211.315104,0.39430449069,63324.2136322,0.690032858708,41495.8899037,1.17140805132e-06
Dominant-Wrist,sitting:-legs-straight,833.518894961,2.84336251788,833.438060086,12396.525481,21735.5942638,1734656.54111,0.494505494505,340203.086332,0.395604395604,60806.6405062,0.791208791209,66797.9691329,2.85074009054e-07
Dominant-Wrist,sitting:-legs-straight,836.330572406,10.7265907278,835.283185513,12422.6528165,21758.5144484,34582310.2558,1.38006571742,3590002.54329,1.0843373494,2810343.68092,1.38006571742,3072282.25595,3.99066952787e-08
Dominant-Wrist,sitting:-legs-straight,832.917955803,9.26962000042,830.188532804,12239.3539862,21569.7370638,21174460.4147,0.697674418605,1805499.15732,1.09634551495,1758439.87543,1.09634551495,1584274.25229,3.29488641005e-08
Dominant-Wrist,sitting:-legs-straight,836.267137947,3.47713576372,836.003588507,12480.6827938,21784.1982868,1569909.63445,0.593406593407,155990.118768,0.494505494505,121057.975827,0.593406593407,71911.4502155,3.77987739158e-07
Dominant-Wrist,sitting:-legs-straight,838.613846154,7.03780576731,840.872760886,12611.8044704,22072.3463864,3699103.69017,0.678148546825,549852.71108,0.387513455328,375144.444593,0.678148546825,263792.535748,1.83327801442e-07
Dominant-Wrist,sitting:-legs-straight,838.63232149,5.03830610574,838.504025035,12340.5232061,21439.3473082,1587973.96123,0.307167235495,383420.713508,0.204778156997,106670.926932,0.716723549488,74910.3507371,1.9343342082e-07
Dominant-Wrist,sitting:-legs-straight,841.883808214,3.05317774477,841.953086579,12877.7193633,22372.03634,2924361.89502,0.570221752904,244271.805144,0.380147835269,241445.866661,0.665258711721,130681.928179,1.94990146013e-07
Dominant-Wrist,sitting:-legs-straight,842.533507259,1.28672685366,842.525963992,12584.6846206,22021.0317197,208858.894272,0.492341356674,18185.8907813,7.77899343545,7720.74290358,1.18161925602,5918.33133778,2.35729178971e-06
Dominant-Wrist,sitting:-legs-straight,838.897035483,3.17425185915,839.592162898,12571.1073896,21844.6295688,809243.851824,0.694597574421,123102.798846,0.396912899669,86663.8428078,0.694597574421,87105.2293256,8.58329133864e-07
