SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,812.741121344,7.40111998729,813.28592758,12122.9899777,21195.43741,14401013.2226,1.0843373494,1091592.23029,1.18291347207,1044659.154,1.0843373494,1184591.84164,7.52959067976e-08
Dominant-Wrist,sitting:-legs-straight,822.165513244,28.6635587839,816.644046911,11999.7854147,21112.8676641,255070895.145,0.593406593407,62049400.9127,0.494505494505,50721166.9745,0.692307692308,47721868.1338,2.32643788336e-09
Dominant-Wrist,sitting:-legs-straight,800.450678392,13.1252625918,798.161011325,11844.3935683,20769.833437,55158177.6253,0.594059405941,6920345.37273,0.693069306931,6517120.55289,0.693069306931,6579956.6502,1.07701057489e-08
Dominant-Wrist,sitting:-legs-straight,796.952440815,3.17271735965,796.533740654,11954.8046408,20776.7482778,2246480.99842,0.987925356751,229727.487348,0.691547749726,204538.139768,0.691547749726,222753.656986,4.39765730245e-07
Dominant-Wrist,sitting:-legs-straight,796.450609022,3.07130096617,796.396885981,11866.8676996,20750.3673702,2868712.5699,0.49504950495,459548.120722,0.693069306931,338584.058399,0.792079207921,279706.978909,1.72568527829e-07
Dominant-Wrist,sitting:-legs-straight,799.095526361,14.7097278437,795.911427233,11916.8966598,20729.2741552,57898207.1626,0.693832599119,9698503.93628,0.79295154185,8464623.05254,0.79295154185,4204319.61344,1.1983662934e-08
Dominant-Wrist,sitting:-legs-straight,795.148354079,4.71518949111,795.058488415,11948.4453382,20741.9969145,4109331.63918,0.887185104053,522720.118261,1.18291347207,401883.262986,0.887185104053,218036.712678,2.15895231135e-07
Dominant-Wrist,sitting:-legs-straight,807.395496354,11.4415155643,809.685123983,11919.5693295,20931.5671893,13849082.5116,0.396912899669,6626658.07214,0.297684674752,1125585.25186,0.793825799338,557899.309114,2.86598696583e-08
Dominant-Wrist,sitting:-legs-straight,793.919899557,5.18581233731,792.12940862,11881.1861361,20693.7413727,1052119.57938,0.592105263158,204982.691395,0.493421052632,161592.194029,0.986842105263,103507.809492,5.62773732913e-07
Dominant-Wrist,sitting:-legs-straight,806.980175133,34.2952177182,792.21777309,11711.4476902,20607.0638617,72909696.2575,0.29702970297,8637876.35366,0.39603960396,7127222.68738,0.693069306931,2713945.64581,4.07393965709e-09
Dominant-Wrist,sitting:-legs-straight,824.990178866,4.21415588439,824.311227632,12350.3176882,21520.0999765,4641649.63487,0.493962678375,388069.550353,0.3951701427,285336.676711,0.889132821076,179529.193854,1.06419638972e-07
Dominant-Wrist,sitting:-legs-straight,822.609433971,1.43085127159,822.626282099,12366.4587494,21435.4667782,477934.916306,0.396475770925,67736.388692,6.3436123348,15629.9261155,2.18061674009,9622.85325705,8.29560171058e-07
Dominant-Wrist,sitting:-legs-straight,825.081196181,1.44106309179,825.030908512,12377.1752432,21515.6460512,443794.797425,0.492880613363,43678.6206006,0.39430449069,24924.2804655,2.07009857612,5191.60705138,1.11060475747e-06
Dominant-Wrist,sitting:-legs-straight,830.656223222,4.78550670966,832.106964278,12411.4968477,21444.7826289,3035108.33621,0.397350993377,402851.803825,0.496688741722,297278.889803,0.894039735099,132899.72222,1.30918224117e-07
Dominant-Wrist,sitting:-legs-straight,827.176308076,5.7282442258,826.964932303,12411.5088124,21618.6383012,10292644.2018,0.491266375546,1330201.82728,2.94759825328,675137.682304,1.86681222707,538029.375365,4.77298511357e-08
Dominant-Wrist,sitting:-legs-straight,822.644895256,2.10447763741,822.643300587,12410.355152,21460.6293244,1268853.47682,4.13566739606,101542.150667,4.03719912473,76958.8201118,2.06783369803,37521.0688608,3.25937349868e-06
Dominant-Wrist,sitting:-legs-straight,821.718862997,5.14488051303,821.114486536,12206.637211,21287.8461804,6664487.45466,2.99667036626,376969.542789,2.39733629301,366342.679515,1.89789123196,219291.176209,4.49647536536e-07
Dominant-Wrist,sitting:-legs-straight,825.656907073,6.53700802809,823.726896489,12463.9165995,21642.5308363,5745380.57964,2.73022751896,311002.247363,3.31527627302,285508.985857,2.04767063922,231697.218949,4.75203945346e-07
Dominant-Wrist,sitting:-legs-straight,826.460832099,4.31053657357,826.035108213,12347.5665619,21549.9746636,4592889.35295,2.96052631579,625055.676674,3.05921052632,483937.330894,1.875,108810.994277,6.44589078526e-07
Dominant-Wrist,sitting:-legs-straight,827.707130325,6.0678406171,826.653796933,12341.8333322,21582.9389797,6632746.67662,2.96052631579,577762.21561,0.394736842105,333705.904509,1.48026315789,289281.69582,4.46349975377e-07
Dominant-Wrist,sitting:-legs-straight,829.952494537,6.17084094805,828.182346886,12326.8898754,21570.9860924,9479342.33605,3.96475770925,709499.834593,1.88325991189,646041.891176,1.88325991189,642818.466654,4.18252402825e-07
Dominant-Wrist,sitting:-legs-straight,813.088054326,34.256180007,821.369283087,11626.4626607,20892.0156998,87954914.069,0.296052631579,20628756.7315,0.394736842105,16822738.6789,0.888157894737,5622947.27796,3.3659589656e-09
Dominant-Wrist,sitting:-legs-straight,797.482124402,25.3016478422,779.349728941,11623.2716995,20384.2385926,25028394.1415,0.400444938821,7542259.45476,0.500556173526,2829543.22781,0.700778642937,2157986.33822,1.59996257274e-08
Dominant-Wrist,sitting:-legs-straight,826.380896995,6.48807828732,827.307681579,9678.77946851,16848.2411842,5905021.48032,1.93548387097,647402.027473,1.12903225806,615521.008257,1.93548387097,639650.008075,3.27769149938e-07
Dominant-Wrist,sitting:-legs-straight,826.641156838,5.42076086926,827.59712421,12368.3723666,21548.8576495,4811332.42116,1.67947310648,532650.150185,1.87705817783,365730.599274,1.67947310648,549324.52326,3.49066112973e-07
