SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,874.697031547,19.5560072033,884.769461498,12843.0402553,22913.8802039,32104983.4793,0.292207792208,7904651.28119,0.38961038961,6465076.43388,0.779220779221,2353985.79763,9.1016334706e-09
Dominant-Wrist,sitting:-legs-straight,880.534877343,1.14612485373,880.514622252,13244.2998682,23099.9651731,164521.324426,0.485436893204,8551.56646132,2.71844660194,7811.55624453,1.84466019417,3198.40731508,2.9506016615e-06
Dominant-Wrist,sitting:-legs-straight,881.074221912,1.00878350533,881.036321612,12564.4172965,22828.3708792,127671.470563,2.14054054054,3951.60137405,13.3297297297,3764.01520431,2.14054054054,3296.22706337,1.67660052094e-05
Dominant-Wrist,sitting:-legs-straight,881.262860999,0.95800423269,881.215637628,13229.7524542,23205.270759,109384.117322,6.99784017279,3598.77409535,4.76241900648,3373.02480596,0.680345572354,1702.15354334,6.39749201629e-05
Dominant-Wrist,sitting:-legs-straight,881.1668885,1.02087128485,881.036321612,12901.0391829,22949.2480051,143220.976329,9.72972972973,4417.72712959,12.2594594595,3841.48749445,1.36216216216,3447.0051287,6.79350886938e-05
Dominant-Wrist,sitting:-legs-straight,882.346990943,2.10074157746,881.896535862,12754.7487235,23202.7358516,624760.868458,5.64935064935,19969.2962828,8.37662337662,18551.6337566,1.07142857143,10729.0672899,9.0424207638e-06
Dominant-Wrist,sitting:-legs-straight,885.948815999,1.211533939,885.813185723,13295.8578512,23156.6284247,215166.816977,0.291262135922,7321.22937708,6.11650485437,6638.49010689,1.74757281553,5793.43936215,1.35365731582e-06
Dominant-Wrist,sitting:-legs-straight,880.956707431,19.8913820286,886.147843195,12950.4784468,23047.02829,73296058.3861,0.487012987013,9009036.59787,0.584415584416,8278175.3331,0.974025974026,4762548.98502,6.64446353237e-09
Dominant-Wrist,sitting:-legs-straight,885.461007393,1.89652824752,885.637058845,13421.3633063,23221.480939,1004725.49421,2.72432432432,127950.759421,2.62702702703,78542.194244,1.45945945946,64003.598128,2.71151109434e-06
Dominant-Wrist,sitting:-legs-straight,888.642840455,17.4174495882,888.21450112,13044.6315778,23260.0625322,86856497.3687,0.388768898488,9356020.54739,1.36069114471,6738541.54425,1.36069114471,6809951.95947,4.47599097668e-09
Dominant-Wrist,sitting:-legs-straight,898.553058548,3.43723453981,897.452505707,12729.3939369,23523.9532179,652498.973627,0.777537796976,51298.1745795,0.680345572354,35006.4118143,0.777537796976,32297.9862798,1.19163068204e-06
Dominant-Wrist,sitting:-legs-straight,911.674894168,3.40790689931,912.967688366,13777.5720648,23955.0743059,1378255.05635,0.291891891892,92072.9684286,0.389189189189,86714.3919069,1.07027027027,55380.8067616,2.11783653938e-07
Dominant-Wrist,sitting:-legs-straight,912.493056667,1.68365550595,912.505890392,13835.0955183,23950.6679448,594577.547837,2.33009708738,53258.3615339,3.88349514563,47976.0879434,2.33009708738,36500.7636815,3.91891200039e-06
Dominant-Wrist,sitting:-legs-straight,913.466595823,1.04055646733,913.513546698,13712.310965,23561.4242142,185643.719936,2.34019501625,12826.2675618,2.73022751896,6584.10786759,2.34019501625,9953.30706964,1.26058399231e-05
Dominant-Wrist,sitting:-legs-straight,913.293012005,1.03425639322,913.191108148,13246.6904546,24048.0874084,147767.981148,1.45788336933,5064.00727026,7.4838012959,4978.77211561,1.45788336933,4992.01168465,9.86603023202e-06
Dominant-Wrist,sitting:-legs-straight,913.067018847,1.0377310586,913.033405742,13553.6004811,23639.8415604,138870.213981,11.5909090909,3887.51957698,12.1753246753,3333.01359046,2.33766233766,2366.87805958,8.34657682066e-05
Dominant-Wrist,sitting:-legs-straight,912.43730103,7.43918137009,912.987404075,13587.19651,23887.2069736,20127019.7401,1.75135135135,1647428.06771,0.583783783784,1357813.65373,1.75135135135,1460397.64341,8.70149368345e-08
Dominant-Wrist,sitting:-legs-straight,917.543212739,20.9506324326,916.886579563,13579.2372024,23949.6398303,92470656.7887,0.388768898488,12121571.9893,0.48596112311,6114135.43289,0.874730021598,4922434.84335,4.20424069634e-09
Dominant-Wrist,sitting:-legs-straight,893.693650386,9.00167716451,893.172435755,13353.998727,23314.1621767,30391719.9102,0.87852494577,1364118.07343,0.58568329718,1237165.38598,0.87852494577,1356915.56073,2.89067202634e-08
Dominant-Wrist,sitting:-legs-straight,894.904868514,1.43996695826,894.890496094,12848.0084449,23576.1036221,433495.652979,1.06796116505,49586.1767019,3.78640776699,24237.323555,1.06796116505,45767.3546126,2.46360293975e-06
Dominant-Wrist,sitting:-legs-straight,913.002702083,23.1680285664,906.169110002,13493.921224,23781.9116978,118716998.303,1.16883116883,14007093.7763,0.38961038961,7469823.0674,1.16883116883,9374857.67752,9.84552495044e-09
Dominant-Wrist,sitting:-legs-straight,894.602262746,1.4771055635,894.554637795,13450.0050929,23088.6403454,444151.607043,1.97368421053,27051.8965316,2.07236842105,25508.2782336,2.07236842105,26177.3496494,4.44371736864e-06
Dominant-Wrist,sitting:-legs-straight,895.770239867,1.00356603279,895.744383181,12553.5223344,23620.7517662,137899.685002,5.95517609392,5441.2523054,5.47491995731,3840.16300994,1.92102454642,1951.08472634,4.31848418932e-05
Dominant-Wrist,sitting:-legs-straight,896.48770246,1.01126653435,896.600245371,13457.5763048,23383.6750533,114033.062761,6.0396039604,3392.34068846,3.36633663366,3257.89778764,2.37623762376,1935.55259679,5.29636213759e-05
Dominant-Wrist,sitting:-legs-straight,896.627873396,1.06154799062,896.613629163,13217.6241435,23230.813223,196470.679672,3.66167023555,7274.04506077,3.56531049251,6901.43297256,0.770877944325,2719.54488985,1.86372350401e-05
Dominant-Wrist,sitting:-legs-straight,823.991055344,11.0838813621,822.477963216,12373.229934,21544.8933857,42555025.0308,0.488069414317,3360758.70644,0.683297180043,3207860.83145,0.780911062907,3314264.2,1.14691370517e-08
Dominant-Wrist,sitting:-legs-straight,825.949979788,1.24687961301,825.81838197,12475.2370719,21713.1071936,230460.007009,0.386266094421,12595.611283,9.84978540773,5523.47716942,1.35193133047,3773.38802429,1.67606561952e-06
Dominant-Wrist,sitting:-legs-straight,823.670898325,7.52609994697,825.492580221,12412.4731621,21616.0403867,16768851.2414,2.62419006479,802603.048425,2.42980561555,765868.322341,1.55507559395,665896.48461,1.56491940146e-07
Dominant-Wrist,sitting:-legs-straight,822.739333954,6.1046936122,823.10934875,12407.0212783,21592.0618978,10548057.1688,1.75135135135,536663.276176,0.389189189189,510781.001682,1.75135135135,158756.953591,1.6603544362e-07
Dominant-Wrist,sitting:-legs-straight,824.475183071,6.28848716881,823.767564304,12498.9614769,21451.9108939,14587458.2755,0.48596112311,1510468.96926,0.583153347732,1079755.01074,0.777537796976,878187.333932,3.33136255771e-08
Dominant-Wrist,sitting:-legs-straight,824.352720441,1.1493260063,824.410092126,12370.2662865,21562.5484811,208524.899933,13.6216216216,6670.11853096,9.24324324324,5026.11222073,1.07027027027,3396.63725015,6.53237173401e-05
Dominant-Wrist,sitting:-legs-straight,822.76357304,1.90805539624,822.618380539,12415.1386219,21622.4742109,559080.867442,1.36069114471,31817.7590612,0.680345572354,31473.552143,1.36069114471,21141.7749271,2.43380023168e-06
Dominant-Wrist,sitting:-legs-straight,822.304472163,11.0657263068,819.824981322,12364.0617113,21531.0986482,42914373.6977,0.487012987013,4513875.3081,1.36363636364,3325851.74405,1.36363636364,3266011.91529,1.13484817568e-08
Dominant-Wrist,sitting:-legs-straight,817.302038385,1.56293849502,817.23497233,11874.7753242,21357.4196475,609853.766731,0.776699029126,32066.0306727,0.679611650485,30482.7121529,0.776699029126,35711.1530558,1.2735824086e-06
Dominant-Wrist,sitting:-legs-straight,820.59826562,4.20347057851,821.73109957,12287.2352057,21432.1641464,1053713.91484,0.291891891892,116121.108099,0.486486486486,51853.904342,1.26486486486,44338.2001082,2.77012467789e-07
Dominant-Wrist,sitting:-legs-straight,823.584734769,1.10568243535,823.704437283,12138.2009375,21558.9463333,190991.561118,7.01298701299,6112.42705971,0.779220779221,6023.69377274,0.779220779221,4251.40949612,3.67188318265e-05
Dominant-Wrist,sitting:-legs-straight,822.52743994,2.03860314784,822.462156645,12332.4074292,21615.6811135,1198466.20258,3.1101511879,78327.0403905,3.30453563715,58199.6819263,1.94384449244,52203.7238868,2.59510963364e-06
Dominant-Wrist,sitting:-legs-straight,826.193003105,11.9378718707,826.03268694,12395.9691432,21683.010446,57954342.7157,1.64870689655,4547066.07094,1.84267241379,3781288.34029,1.64870689655,4389249.10597,2.84483753813e-08
Dominant-Wrist,sitting:-legs-straight,826.924328549,7.60691296357,826.400629235,12446.385178,21689.7343921,19665855.5202,0.681081081081,1672347.27742,1.16756756757,1385447.10042,1.16756756757,1285566.13239,3.46326698262e-08
Dominant-Wrist,sitting:-legs-straight,824.05092791,1.73611566642,823.961770958,12247.6930481,21580.6653975,810675.670513,2.04545454545,38608.6486541,0.779220779221,35624.0829169,2.04545454545,37372.4623224,2.52314781343e-06
Dominant-Wrist,sitting:-legs-straight,825.512679513,2.02117616355,825.244812162,12483.8592991,21645.1581884,988227.316601,0.486486486486,75770.7850219,3.40540540541,48004.0894816,1.45945945946,34321.8293746,4.92281966218e-07
Dominant-Wrist,sitting:-legs-straight,823.383664171,1.33561318664,823.258161211,12463.3958856,21675.9344897,392645.924074,1.16504854369,32538.552766,1.45631067961,14841.1040972,1.16504854369,31409.3307659,2.9671734055e-06
Dominant-Wrist,sitting:-legs-straight,831.146119189,21.894412847,823.192565564,12266.7899631,21612.4261942,99936482.4841,0.681081081081,10736233.2617,0.778378378378,7687647.74694,0.778378378378,5500437.2304,6.8151396182e-09
Dominant-Wrist,sitting:-legs-straight,826.404821574,7.59198290714,825.556781815,9668.42267384,16824.5337825,7833356.69976,1.6157989228,651600.29296,1.29263913824,650144.69671,1.6157989228,562606.321608,2.06271587613e-07
