SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,773.128993836,1.06651878537,773.173977834,10886.8353988,19317.1331465,158321.969338,2.25,7450.52187129,0.321428571429,6859.62803662,2.25,5566.80173747,1.42115463155e-05
Dominant-Wrist,sitting:-legs-straight,783.004742758,10.9518780692,784.521510221,13039.0679498,22947.0020482,17209443.6028,1.62231759657,916621.454309,1.4678111588,811401.608189,1.62231759657,904805.048745,9.42690323995e-08
Dominant-Wrist,sitting:-legs-straight,791.905141453,3.36359235207,792.178641469,11814.7458288,20675.8690265,1912971.07244,0.39430449069,230803.599411,0.78860898138,95111.9414083,0.78860898138,91142.7372107,2.06121512432e-07
Dominant-Wrist,sitting:-legs-straight,783.721503048,12.5692538662,779.718538961,11626.0111388,20347.0600579,36142877.2971,0.296052631579,3082602.58371,0.888157894737,1634654.79191,0.690789473684,608217.517194,8.19117496223e-09
Dominant-Wrist,sitting:-legs-straight,796.737463452,2.92113212024,796.856950677,11788.3601489,20699.6513014,1567053.20091,0.296703296703,164459.329938,1.38461538462,140058.049139,1.38461538462,119973.045645,1.89338368685e-07
Dominant-Wrist,sitting:-legs-straight,780.836616028,7.71329481983,781.038411347,11708.8176175,20393.1783202,19900161.5913,0.393442622951,1554917.95183,0.590163934426,980753.196,0.688524590164,622403.229794,1.97708255356e-08
Dominant-Wrist,sitting:-legs-straight,782.496847012,0.996590067925,782.563735424,11560.4279333,20453.6089481,116605.43038,0.390032502709,4763.88086807,0.68255687974,4203.15967875,0.68255687974,3129.22409934,3.34489141233e-06
Dominant-Wrist,sitting:-legs-straight,782.427354394,1.0108912717,782.289588119,11183.9779149,19906.2222182,99260.1195401,0.625,4785.98821125,5.83333333333,2267.7807776,0.625,2442.09282535,6.29658721847e-06
Dominant-Wrist,sitting:-legs-straight,783.026819154,1.15270546721,782.906124641,11592.1751626,20481.0097651,196815.925268,0.588876772083,7177.69786916,0.490730643402,6116.20186793,1.86477644493,3311.73274074,2.99201790343e-06
Dominant-Wrist,sitting:-legs-straight,781.159623878,1.49272556281,781.110107475,11791.5267883,20322.87583,218435.480237,0.290948275862,18204.9052089,0.387931034483,9742.1436817,2.13362068966,2168.22534944,1.33196436562e-06
Dominant-Wrist,sitting:-legs-straight,782.366641394,3.20605344129,782.733671181,11823.4837929,20562.9742499,845920.777671,0.485436893204,158746.958655,0.388349514563,112546.770187,0.679611650485,64423.5476379,5.73856212091e-07
Dominant-Wrist,sitting:-legs-straight,783.519637686,1.44316979587,783.518346945,11776.8792556,20400.4227897,177749.129985,0.691547749726,10623.5779363,0.59275521405,7994.82371176,0.691547749726,9317.86408959,3.89058303567e-06
Dominant-Wrist,sitting:-legs-straight,783.647902587,1.0926743425,783.547701164,11734.0518151,20482.8273195,147110.273396,0.394736842105,7540.8757302,7.89473684211,4673.26773553,0.789473684211,2149.84527121,2.68327175929e-06
Dominant-Wrist,sitting:-legs-straight,779.744478306,2.9222494585,778.982669897,8747.92964078,15878.8827378,247317.097358,0.486486486486,75806.2127418,0.810810810811,35457.0952017,0.810810810811,38133.899191,1.96705562083e-06
Dominant-Wrist,sitting:-legs-straight,780.033217381,3.3573332055,780.086853825,11740.4272921,20244.5986871,1576648.7338,4.13566739606,106244.065888,4.43107221007,80669.010248,0.886214442013,23029.8273688,2.6230746947e-06
Dominant-Wrist,sitting:-legs-straight,782.238098422,1.42052941208,782.24612495,11731.9376064,20412.4180831,157396.252061,0.394736842105,21367.6915131,0.789473684211,5362.87245632,0.789473684211,5704.39460523,2.50791767235e-06
Dominant-Wrist,sitting:-legs-straight,806.783364594,20.7251783492,806.758328079,9170.1134126,16134.3151698,39118961.552,0.32967032967,12750066.5642,0.494505494505,12631885.9888,0.824175824176,3843111.1073,8.42737937284e-09
Dominant-Wrist,sitting:-legs-straight,805.503498109,1.84231911632,805.568743187,12046.808374,20829.5297835,561732.00602,0.493421052632,127528.314457,0.592105263158,72584.2148485,0.690789473684,47210.4864365,8.78392271304e-07
Dominant-Wrist,sitting:-legs-straight,804.119988198,2.96144512676,804.260529928,12083.4352318,20969.7766798,766704.96546,0.296377607025,55710.5847164,0.19758507135,26615.9154767,1.28430296378,19205.5860079,3.86560176831e-07
Dominant-Wrist,sitting:-legs-straight,805.2036033,2.53552044099,805.527777299,12053.7566758,20911.1403324,1694865.98933,0.492880613363,420897.598369,0.39430449069,191957.59687,0.887185104053,180828.981517,2.90808014596e-07
Dominant-Wrist,sitting:-legs-straight,805.006468397,2.78180140158,805.263310973,12020.6793069,20995.9731139,1224301.42148,0.59275521405,122803.459716,0.296377607025,88857.2744786,0.691547749726,63159.4150736,4.84157907238e-07
Dominant-Wrist,sitting:-legs-straight,803.898404755,2.50670296508,804.177219274,12035.0440381,20922.5125642,1507393.56274,0.690789473684,163471.76738,0.493421052632,123937.969391,0.690789473684,98870.9235199,4.58267496133e-07
Dominant-Wrist,sitting:-legs-straight,803.069046273,2.43163313593,803.367910689,11917.8579871,20979.0679726,1263164.87373,0.394736842105,272326.425488,0.296052631579,153521.318212,0.986842105263,50855.1582919,3.12498273437e-07
Dominant-Wrist,sitting:-legs-straight,804.281772756,2.27639776237,804.540551972,12099.311468,21012.7457749,995184.83743,0.394736842105,91847.1026454,0.789473684211,80754.6018426,0.789473684211,82144.1553819,3.96646760741e-07
Dominant-Wrist,sitting:-legs-straight,805.099398039,1.66084299534,805.025465436,12098.7273298,21023.621786,527278.483675,0.790340285401,57729.0448583,0.493962678375,19972.9021785,0.790340285401,50804.8116985,1.49890486692e-06
Dominant-Wrist,sitting:-legs-straight,803.313611325,3.3078481676,803.803458564,12062.7391583,20947.0665249,1817775.31735,0.395604395604,307060.88471,0.494505494505,209865.697965,1.97802197802,55423.6574103,2.1763107455e-07
Dominant-Wrist,sitting:-legs-straight,803.426221177,1.96888895396,803.544647173,12065.8873275,20852.4243435,869155.742733,0.393442622951,228741.929459,0.491803278689,114403.47331,0.688524590164,38340.2688313,4.52672177846e-07
Dominant-Wrist,sitting:-legs-straight,804.943419569,2.16639491097,805.112414511,12113.5618214,20892.1324666,975375.004423,0.592105263158,87937.1281327,0.493421052632,82609.7208588,1.28289473684,31010.5031854,6.07053964345e-07
Dominant-Wrist,sitting:-legs-straight,798.116472849,11.9005294826,800.564800625,11783.0319103,20778.9369074,21572191.8924,0.492880613363,1213544.32614,3.45016429354,742776.221938,1.57721796276,472861.618899,2.28479616639e-08
Dominant-Wrist,sitting:-legs-straight,788.623480944,2.8793856293,788.946132508,11856.2440511,20613.0786153,1574495.6699,0.492341356674,82358.1784801,4.5295404814,35813.1898674,0.787746170678,40467.4922526,3.12697815616e-07
Dominant-Wrist,sitting:-legs-straight,785.079579094,2.72233125923,784.922926153,11684.031496,20400.8879709,2143082.43217,2.74809160305,105938.40181,3.82769901854,103282.153967,1.96292257361,59417.0988002,1.28230793263e-06
Dominant-Wrist,sitting:-legs-straight,787.280796408,5.68933027652,786.91359119,11508.5719792,20090.4522099,9824957.57625,0.412844036697,533359.575621,1.13532110092,401964.768351,1.13532110092,372870.960167,4.20199307217e-08
Dominant-Wrist,sitting:-legs-straight,786.084493466,2.33803357726,785.970419096,12089.5586355,20981.8294245,1068311.28403,5.86134453782,47196.0283311,0.661764705882,39832.9782924,1.13445378151,31171.690923,5.48655118171e-06
Dominant-Wrist,sitting:-legs-straight,784.623042946,2.03844528075,784.487730943,11711.310644,20454.7247843,1077928.96847,0.394736842105,61558.6159818,3.35526315789,39017.4592412,0.789473684211,22594.8122117,3.66199307795e-07
Dominant-Wrist,sitting:-legs-straight,786.247746191,5.54551530671,785.606135414,11814.9988997,20473.5917709,10718328.6018,0.493962678375,926306.180616,0.3951701427,672573.578622,0.889132821076,591549.150347,4.60857934782e-08
Dominant-Wrist,sitting:-legs-straight,785.056989564,2.71436468871,785.000636942,11734.4163042,20491.6215317,1508397.71109,3.44638949672,92318.3079407,4.43107221007,30505.5497944,1.77242888403,24469.8016445,2.28480159535e-06
Dominant-Wrist,sitting:-legs-straight,783.26566304,2.21483608132,783.097056565,11793.4474603,20373.465341,1316814.21922,2.96703296703,57372.4319095,3.46153846154,53635.8122943,1.08791208791,34430.1630473,2.25319025548e-06
Dominant-Wrist,sitting:-legs-straight,785.074441172,4.48317612758,784.912734003,11752.0448859,20528.9099808,7133155.5626,0.786885245902,369696.342297,1.37704918033,328228.061255,0.786885245902,371999.736549,1.10313764924e-07
Dominant-Wrist,sitting:-legs-straight,784.671298993,2.19838313526,784.576956073,11811.1868159,20408.9560978,1139839.38082,2.56860592755,49351.3197629,3.951701427,42865.4445161,1.67947310648,29916.6888213,2.25348059629e-06
Dominant-Wrist,sitting:-legs-straight,783.926250416,1.95349081842,783.706577745,11806.465051,20452.2887717,798141.097675,0.3951701427,42811.4024265,4.7420417124,26076.3686927,1.38309549945,20719.8044115,4.95113137077e-07
Dominant-Wrist,sitting:-legs-straight,785.351376376,5.41803778713,784.219994644,11695.7484156,20307.6074169,8011111.02582,0.401785714286,767287.541277,0.703125,524225.196058,0.703125,471768.146333,5.01535571022e-08
Dominant-Wrist,sitting:-legs-straight,784.649683491,2.54381036759,784.395945935,11883.1845058,20687.508139,1365796.06138,3.96774193548,57256.7246119,1.06451612903,39284.6384068,2.12903225806,29432.7246025,2.90507642222e-06
Dominant-Wrist,sitting:-legs-straight,785.523152165,3.51581647077,784.671587354,11766.9810062,20490.8117214,2120417.46357,0.394736842105,266146.200957,0.592105263158,236368.710066,0.986842105263,146982.048084,1.86159965614e-07
Dominant-Wrist,sitting:-legs-straight,785.965746273,7.12267492927,783.789512561,11670.2662352,20405.6187605,8169892.94052,1.97802197802,406837.559352,2.07692307692,382864.672836,1.78021978022,435216.585371,2.42111125864e-07
Dominant-Wrist,sitting:-legs-straight,785.728913156,2.44874304004,785.607408315,11747.2528704,20463.9764953,1444797.90384,0.393442622951,55676.5855701,0.983606557377,50407.3574485,0.983606557377,49200.9170186,2.72316717726e-07
Dominant-Wrist,sitting:-legs-straight,783.755681198,3.08698093942,783.615977377,11788.5699726,20408.2883898,2416689.95244,0.39430449069,110257.558869,1.67579408543,60850.3291699,1.67579408543,64444.2332575,1.6315890679e-07
Dominant-Wrist,sitting:-legs-straight,785.218613014,5.25086037023,784.306700214,11719.6686387,20349.4928438,6775805.45112,0.395604395604,753206.730241,0.494505494505,700553.118815,0.692307692308,455302.616549,5.83848515809e-08
Dominant-Wrist,sitting:-legs-straight,784.05130032,2.03567991032,783.880092871,11777.1713497,20422.7443308,589144.208788,2.17105263158,15829.5344353,7.89473684211,15024.6575872,2.17105263158,12827.9247749,3.68509543028e-06
Dominant-Wrist,sitting:-legs-straight,782.932720361,2.77843840531,782.672345238,11655.7602498,20466.8973467,1976728.54433,2.75711159737,88772.1094123,0.492341356674,55355.5229515,1.9693654267,45323.8066689,1.39478513895e-06
Dominant-Wrist,sitting:-legs-straight,784.236363425,5.50345246197,783.457401522,11790.5597831,20452.3891025,10615222.6835,0.393873085339,704294.527564,0.492341356674,684412.881574,0.984682713348,534482.619496,3.71045523096e-08
Dominant-Wrist,sitting:-legs-straight,783.089167261,3.19773249252,782.84992176,11731.2096989,20421.1918114,3167017.74577,0.3951701427,179676.533681,0.296377607025,117875.494418,1.28430296378,83682.6637326,1.24776737746e-07
Dominant-Wrist,sitting:-legs-straight,783.493079382,6.34367400933,782.503674113,11667.1335383,20381.6277809,14429239.9758,1.28430296378,757218.257081,1.08671789243,667688.957289,1.28430296378,757108.559588,8.90069723651e-08
Dominant-Wrist,sitting:-legs-straight,783.75110086,2.89574459919,783.459635208,11741.34494,20423.9347335,2079565.50398,0.3951701427,78240.9211789,0.59275521405,67812.2967565,1.9758507135,57709.8507844,1.90025340362e-07
